Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
59,0.00000000,0.00000000,0.00000000,-0.04742933,0.09433635,0.01382630,-0.04669194,0.21276140,0.04514588,-0.09690647,-0.10040866,-0.11951349,-0.01444419,0.17564134,-0.00179172,-0.00854239,-0.06366742,0.01784771,-0.07536776,0.00000000,0.00000000,0.00000000,0,16:49:49.0,0,0
60,0.00000000,0.00000000,0.00000000,-0.03967925,0.08240768,0.01311010,-0.03722618,0.21250530,0.03641118,-0.08725863,-0.07544509,-0.10934515,-0.00368565,0.15846658,-0.00895228,-0.00552206,-0.10522968,0.01860726,-0.06424067,0.00000000,0.00000000,0.00000000,0,16:49:50.0,0,0
61,0.00000000,0.00000000,0.00000000,-0.05156988,0.00295410,0.00526764,-0.04765171,0.15507166,0.03407938,-0.09320655,-0.07038387,-0.10751835,-0.01513993,0.10075635,-0.01554140,-0.02782936,-0.16524285,0.01171902,-0.08555892,0.00000000,0.00000000,0.00000000,0,16:49:50.0,0,0
62,0.00000000,0.00000000,0.00000000,-0.07975522,-0.08533160,-0.00288906,-0.06328131,0.07998358,0.03335759,-0.09408639,-0.08061122,-0.12026172,-0.02107367,0.04310107,-0.02123793,-0.05886461,-0.23103750,0.00902041,-0.09901863,0.00000000,0.00000000,0.00000000,0,16:49:50.0,0,0
63,0.00000000,0.00000000,0.00000000,-0.09982061,-0.06660536,-0.00910367,-0.06225133,0.06998190,0.03427162,-0.07409248,-0.10345057,-0.07672566,-0.00703159,0.08894304,-0.01256775,-0.02860828,-0.11820432,0.02628297,-0.09202976,0.00000000,0.00000000,0.00000000,0,16:49:50.0,0,0
64,0.00000000,0.00000000,0.00000000,-0.02739017,0.12829246,0.02705309,-0.01286901,0.25168234,0.02840872,-0.01513368,-0.04346142,0.01428864,0.04859517,0.18538277,0.05726806,0.02451275,-0.07436112,0.07451443,-0.05226331,0.00000000,0.00000000,0.00000000,0,16:49:50.0,0,0
65,0.00000000,0.00000000,0.00000000,-0.01756199,0.08600295,0.02823128,-0.02439359,0.21663187,-0.00127892,-0.04341352,-0.06335118,-0.05310372,0.02771804,0.16341154,0.01954107,0.01307858,-0.10351691,0.06400661,-0.05659018,0.00000000,0.00000000,0.00000000,0,16:49:51.0,0,0
66,0.00000000,0.00000000,0.00000000,-0.03616632,-0.00485114,0.01748923,-0.01778078,0.14536862,0.00001340,-0.02601977,-0.05625676,-0.03788244,0.02426008,0.08302116,0.02173056,-0.00982555,-0.18014617,0.06040306,-0.07341271,0.00000000,0.00000000,0.00000000,0,16:49:51.0,0,0
67,0.00000000,0.00000000,0.00000000,-0.07763978,-0.12491857,0.00409284,-0.04685937,0.04272230,0.01093586,-0.05951702,-0.08353979,-0.06113434,0.00819247,0.00400640,0.01737130,-0.04007756,-0.26424855,0.05846623,-0.07947563,0.00000000,0.00000000,0.00000000,0,16:49:51.0,0,0
68,0.00000000,0.00000000,0.00000000,-0.03380184,0.04653629,0.01321889,-0.03633257,0.18865392,-0.00451348,-0.04625151,-0.09075946,-0.04632081,0.01615714,0.12703949,0.01279316,0.00900656,-0.10977664,0.05454902,-0.08021455,0.00000000,0.00000000,0.00000000,0,16:49:51.0,0,0
69,0.00000000,0.00000000,0.00000000,-0.03892063,0.01972605,0.01100877,-0.03510159,0.16275428,-0.00177878,-0.04522892,-0.09493513,-0.03163417,0.00803046,0.10037988,0.01277610,0.00395571,-0.14167006,0.05187161,-0.08137248,0.00000000,0.00000000,0.00000000,0,16:49:51.0,0,0
70,0.00000000,0.00000000,0.00000000,-0.05536336,-0.05450748,-0.00020766,-0.04459673,0.10381431,0.00447159,-0.06054328,-0.10730568,-0.08021847,-0.00599622,0.04450657,0.01355249,-0.02543703,-0.21085273,0.04028878,-0.09060971,0.00000000,0.00000000,0.00000000,0,16:49:52.0,0,0
71,0.00000000,0.00000000,0.00000000,-0.08767200,-0.14033175,-0.01943940,-0.07221817,0.02968407,0.00985595,-0.08644427,-0.11678702,-0.09294727,-0.02130365,-0.01291697,0.00105028,-0.04645143,-0.27278638,0.03027595,-0.09826594,0.00000000,0.00000000,0.00000000,0,16:49:52.0,0,0
72,0.00000000,0.00000000,0.00000000,-0.05125293,0.01159996,-0.00583918,-0.05738773,0.16373743,0.00562551,-0.07536561,-0.12701388,-0.07017302,-0.01200904,0.08904723,0.01859525,-0.00077179,-0.13997357,0.04500078,-0.09519645,0.00000000,0.00000000,0.00000000,0,16:49:52.0,0,0
73,0.00000000,0.00000000,0.00000000,-0.05465483,-0.02191292,-0.00912836,-0.04906818,0.13322589,0.01173681,-0.06518624,-0.11445940,-0.06807717,-0.01157957,0.06244689,0.01741128,-0.01490753,-0.17676188,0.03840324,-0.09445228,0.00000000,0.00000000,0.00000000,0,16:49:52.0,0,0
74,0.00000000,0.00000000,0.00000000,-0.07799512,-0.10825106,-0.01945548,-0.06465938,0.06389628,0.00801027,-0.07788417,-0.12090790,-0.08593176,-0.02747859,-0.00139731,-0.00395214,-0.04414962,-0.25298321,0.02726523,-0.10406566,0.00000000,0.00000000,0.00000000,0,16:49:52.0,0,0
75,0.00000000,0.00000000,0.00000000,-0.11011555,-0.20207779,-0.03289660,-0.08588032,-0.01309593,0.01328291,-0.10318844,-0.14413302,-0.10114869,-0.04130899,-0.06156171,-0.00572729,-0.07026571,-0.31357399,0.01300448,-0.11228278,0.00000000,0.00000000,0.00000000,0,16:49:53.0,0,0
76,0.00000000,0.00000000,0.00000000,-0.06205265,-0.01903333,-0.01579331,-0.06957266,0.14570871,0.01293019,-0.07825980,-0.13722987,-0.08323716,-0.02587928,0.06412440,0.01256668,-0.01442907,-0.15193334,0.03114415,-0.10292943,0.00000000,0.00000000,0.00000000,0,16:49:53.0,0,0
77,0.00000000,0.00000000,0.00000000,-0.05915137,-0.03959496,-0.01326917,-0.05747395,0.12789190,0.01149606,-0.07597262,-0.13444759,-0.08721551,-0.02868819,0.04934778,0.00444568,-0.02475167,-0.18552874,0.02497366,-0.09484851,0.00000000,0.00000000,0.00000000,0,16:49:53.0,0,0
78,0.00000000,0.00000000,0.00000000,-0.07555000,-0.11152807,-0.01896891,-0.06717762,0.06955630,0.01426693,-0.09594022,-0.13497138,-0.11099959,-0.03914303,-0.01095480,-0.00932271,-0.05390812,-0.25694823,0.01732175,-0.10031002,0.00000000,0.00000000,0.00000000,0,16:49:53.0,0,0
79,0.00000000,0.00000000,0.00000000,-0.10668262,-0.20841008,-0.03422748,-0.08966199,-0.01307661,0.01461906,-0.09841869,-0.15841810,-0.12538996,-0.05647544,-0.07639658,-0.01715170,-0.07839281,-0.32111219,-0.00221616,-0.11668925,0.00000000,0.00000000,0.00000000,0,16:49:53.0,0,0
